Group_1,Group_2,t_statistic,p_raw,p_adjusted_Bonferroni,Significance
Normal,Basal,-35.3465,1.187519e-184,1.187519e-183,***
Normal,Her2,-34.0818,2.204958e-103,2.204958e-102,***
Normal,LumA,-86.8903,0.000000e+00,0.000000e+00,***
Normal,LumB,-54.3554,0.000000e+00,0.000000e+00,***
Basal,Her2,-14.9918,1.433484e-39,1.433484e-38,***
Basal,LumA,-27.4519,4.392077e-122,4.392077e-121,***
Basal,LumB,-16.8357,2.638270e-57,2.638270e-56,***
Her2,LumA,2.3527,1.934438e-02,1.934438e-01,ns
Her2,LumB,5.0097,8.598913e-07,8.598913e-06,***
LumA,LumB,5.9333,4.120147e-09,4.120147e-08,***
